Timestamp,Price,Market_Regime,Action,Net_Return
2021-01-01 00:00:00,30005.21491385235,Unknown,🟡 HOLD,
2021-01-01 00:30:00,30004.940307110937,Unknown,🟡 HOLD,-0.0
2021-01-01 01:00:00,30001.45037367224,Unknown,🟡 HOLD,-0.0
2021-01-01 01:30:00,29983.199729167227,Unknown,🟡 HOLD,-0.0
2021-01-01 02:00:00,29979.952933953897,Unknown,🟡 HOLD,-0.0
2021-01-01 02:30:00,29959.93867629715,Unknown,🟡 HOLD,-0.0
2021-01-01 03:00:00,29977.31097841614,Unknown,🟡 HOLD,0.0
2021-01-01 03:30:00,29939.581104411216,Unknown,🟡 HOLD,-0.0
2021-01-01 04:00:00,29935.566744679832,Unknown,🟡 HOLD,-0.0
2021-01-01 04:30:00,29940.461267760773,Unknown,🟡 HOLD,0.0
2021-01-01 05:00:00,29939.437869152775,Unknown,🟡 HOLD,-0.0
2021-01-01 05:30:00,29927.25037828633,Unknown,🟡 HOLD,-0.0
2021-01-01 06:00:00,29928.522782252192,Unknown,🟡 HOLD,0.0
2021-01-01 06:30:00,29907.840351581537,Unknown,🟡 HOLD,-0.0
2021-01-01 07:00:00,29894.37577263989,Unknown,🟡 HOLD,-0.0
2021-01-01 07:30:00,29869.060601655707,Unknown,🟡 HOLD,-0.0
2021-01-01 08:00:00,29901.804694870385,Unknown,🟡 HOLD,0.0
2021-01-01 08:30:00,29908.352008885424,Unknown,🟡 HOLD,0.0
2021-01-01 09:00:00,29898.10151703238,Unknown,🟡 HOLD,-0.0
2021-01-01 09:30:00,29887.329352167504,Unknown,🟡 HOLD,-0.0
2021-01-01 10:00:00,29874.29007439261,Unknown,🟡 HOLD,-0.0
2021-01-01 10:30:00,29874.69863315968,Unknown,🟡 HOLD,0.0
2021-01-01 11:00:00,29857.770776472476,Unknown,🟡 HOLD,-0.0
2021-01-01 11:30:00,29876.37632117782,Unknown,🟡 HOLD,0.0
2021-01-01 12:00:00,29883.895454675472,Unknown,🟡 HOLD,0.0
2021-01-01 12:30:00,29915.282988627936,Unknown,🟡 HOLD,0.0
2021-01-01 13:00:00,29947.171210538632,Unknown,🟡 HOLD,0.0
2021-01-01 13:30:00,29949.51896289098,Unknown,🟡 HOLD,0.0
2021-01-01 14:00:00,29982.15487274961,Unknown,🟡 HOLD,0.0
2021-01-01 14:30:00,29998.49862992739,Unknown,🟡 HOLD,0.0
2021-01-01 15:00:00,29994.976374513622,Unknown,🟡 HOLD,-0.0
2021-01-01 15:30:00,30011.91317777169,Unknown,🟡 HOLD,0.0
2021-01-01 16:00:00,30008.061424500407,Unknown,🟡 HOLD,-0.0
2021-01-01 16:30:00,30000.18467672295,Unknown,🟡 HOLD,-0.0
2021-01-01 17:00:00,29988.161814620933,Unknown,🟡 HOLD,-0.0
2021-01-01 17:30:00,29980.102624497235,Unknown,🟡 HOLD,-0.0
2021-01-01 18:00:00,29986.692340532187,Unknown,🟡 HOLD,0.0
2021-01-01 18:30:00,29981.743489949007,Unknown,🟡 HOLD,-0.0
2021-01-01 19:00:00,29967.01052166098,Unknown,🟡 HOLD,-0.0
2021-01-01 19:30:00,30005.20378016034,Unknown,🟡 HOLD,0.0
2021-01-01 20:00:00,30010.054980449622,Unknown,🟡 HOLD,0.0
2021-01-01 20:30:00,29986.018639406742,Unknown,🟡 HOLD,-0.0
2021-01-01 21:00:00,29979.21055132313,Unknown,🟡 HOLD,-0.0
2021-01-01 21:30:00,29994.15586140851,Unknown,🟡 HOLD,0.0
2021-01-01 22:00:00,29984.060198320647,Unknown,🟡 HOLD,-0.0
2021-01-01 22:30:00,29956.81291522112,Unknown,🟡 HOLD,-0.0
2021-01-01 23:00:00,29971.84452670401,Unknown,🟡 HOLD,0.0
2021-01-01 23:30:00,29985.494418122285,Unknown,🟡 HOLD,0.0
2021-01-02 00:00:00,29990.44037907372,Unknown,🟡 HOLD,0.0
2021-01-02 00:30:00,30012.1976428894,Unknown,🟡 HOLD,0.0
2021-01-02 01:00:00,29998.725357921627,Unknown,🟡 HOLD,-0.0
2021-01-02 01:30:00,29998.581079073607,Unknown,🟡 HOLD,-0.0
2021-01-02 02:00:00,30019.873744689503,Unknown,🟡 HOLD,0.0
2021-01-02 02:30:00,29994.54471744439,Unknown,🟡 HOLD,-0.0
2021-01-02 03:00:00,30005.56014838004,Unknown,🟡 HOLD,0.0
2021-01-02 03:30:00,30013.64830419536,Unknown,🟡 HOLD,0.0
2021-01-02 04:00:00,30013.86662126493,Unknown,🟡 HOLD,0.0
2021-01-02 04:30:00,30050.0290581311,Unknown,🟡 HOLD,0.0
2021-01-02 05:00:00,30024.060734598526,Unknown,🟡 HOLD,-0.0
2021-01-02 05:30:00,30035.89779034879,Unknown,🟡 HOLD,0.0
2021-01-02 06:00:00,30035.945247595428,Unknown,🟡 HOLD,0.0
